date sleep_start sleep_end sleep_quality ease_of_working misc_data
12/01/23 7:15am 10:30am 2 3 "timezone:est;workplace:apartment;task:presentation"
12/01/23 3:15pm 5:15pm 4 2 "antisleep:bigmeal"
12/01/23 8:10pm 10:30pm 4 2 "exercise:25 run"
12/02/23 3:30am 4:00am 1 3 ""
12/02/23 4:45am 10:15am 4 4 "antisleep:blacktea"
12/02/23 3:00pm 3:30pm 2 4 "exercise:7:00pm 25 hiit"
12/02/23 9:12pm 9:25pm 3 2 "secondwind:talkparents,yogurt,2 snackbar,herbaltea"
12/03/23 3:10am 11:45am 4 3 "exercise:5:00pm 25 run;trans:talkparents,watchvideo"
12/03/23 9:30pm 10:00pm 2 2 "secondwind:coding,ambientmusic,3 snackbar;antisleep:blacktea,secondwind"
12/04/23 7:00am 11:30am 2 0 ""
12/04/23 1:00pm 2:00pm 3 3 "strategy:supplementarynap;secondwind:existentialism;exercise:5:13pm 25 run"
12/04/23 8:10pm 10:00pm 4 2,3 ""
12/05/23 4:30am 10:10am 4 3 "unintendedtrans:30;unintendedwake:otheralarm"
12/05/23 11:50am 1:35pm 4 3 "strategy:supplementarynap;unintendedtrans:25,mx;event:rollout of socialism 101 educational"
12/05/23 9:35pm 10:05pm 3 1,2 "exercise:10:35pm 25 run;workspot:computerlab;unintended:80 videogame;secondwind:4:00am"
12/06/23 11:15am 4:30pm 5 3 "exercise:7:05pm 40 weightlifting"
12/06/23 9:35pm 10:00pm 2 2,3 "secondwind:socialism;workspot:computerlab;unintended:60 essaywriting"
12/07/23 7:15am 2:15pm 5 3 ""
12/07/23 4:00pm 7:00pm 5 2 "exercise:9:00pm 25 hiit"
12/08/23 1:40am 2:10am 2 3 "strategy:supplementarynap;trans:melatonin"
12/08/23 6:00am 11:20am 4 3 "antisleep:blacktea;secondwind:amv;exercise:3:05pm 25 run"
12/08/23 5:25pm 5:50pm 2 4,2 "strategy:supplementarynap;secondwind:imagemotivational;antisleep:blacktea,greentea"
12/09/23 1:35am 2:30am 2 3,2 "antisleep:greentea;secondwind:interesting;trans:mx"
12/09/23 5:50am 12:10pm 4 3 "secondwind:60 essaywriting;antisleep:greentea,blacktea"
12/09/23 6:35pm 7:05pm 2 3,2 "negwind:11pm aftermeal;secondwind:amv,sparklingwater,videogame,coding"
12/10/23 1:50am 7:20am 4 3 "trans:mx;unintendedwake:wanted 60 sleep"
12/10/23 10:30am 11:05am 3 3 "antisleep:greentea,bigmeal"
12/10/23 2:40pm 3:00pm 3 3 "exercise:4:00pm 40 weightlifting"
12/10/23 7:00pm 10:00pm 3 4,2 "antisleep:2 blacktea,greentea;secondwind:45 essaywriting,sparklingwater,videogame,daylight;task:manuscript;secondwind:deadline[setting the deadline earlier than necessary is good, since productivity sharply increases as you get closer to it]"
12/11/23 11:05am 2:10pm 4 0 ""
12/11/23 4:15pm 6:05pm 3 2 "trans:mx;exercise:7:30pm 25 run"
12/12/23 3:15am 11:15am 3 2 "unintendedwake:10:30am;secondwind:videogame"
12/12/23 1:35pm 1:55pm 2 4 "strategy:supplementarynap;secondwind:sentimentalphrases;antisleep:blacktea,3:30pm bigmeal"
12/12/23 4:50pm 5:05pm 2 3 "antisleep:blacktea;secondwind:coding;exercise:9:00pm 25 hiit;unintended: 360 videogame"
12/13/23 4:45am 11:45am 3 Nan "secondwind:35 essaywriting;antisleep:blacktea"
12/13/23 8:05pm 10:05pm 2,3 3 "trans:mx;antisleep:much blacktea,greentea;secondwind:interesting,gum;secondwind:60 essaywriting,myquotes,sparklingwater,amv[strategy of doing an amv pick-me-up in the middle of the pomodoro, when tired and depressed]"
12/14/23 11:15am 3:05pm 4 3,4 "secondwind:myquotes"
12/14/23 10:30pm 12:40am 3 3 "secondwind:40 essaywriting"
12/15/23 7:30am 12:20pm 4 4,2 "unintendedwake:3 snooze;secondwind:sentimentalphrases;event:JSM student paper competition;exercise:12:20am 20 run;secondwind/strategy: transfer from the notebook"
12/16/23 5:10am 1:55pm 4 0 "exercise:7:00pm 25 hiit"
12/17/23 2:30am 12:55pm 4 0 ""
12/17/23 8:25pm 8:40pm 2 2 ""
12/17/23 10:00pm 10:15pm 2 0 ""
